GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Imputed,Estimate; Total: - Not Imputed
0800000US360614491951000016700,360614491951000016700,"Census Tract 167, New York city (part), Manhattan borough, New York County, New York",3889,76,3813
0800000US360614491951000016800,360614491951000016800,"Census Tract 168, New York city (part), Manhattan borough, New York County, New York",1365,217,1148
0800000US360614491951000016900,360614491951000016900,"Census Tract 169, New York city (part), Manhattan borough, New York County, New York",4827,267,4560
0800000US360614491951000017000,360614491951000017000,"Census Tract 170, New York city (part), Manhattan borough, New York County, New York",3714,435,3279
0800000US360614491951000017100,360614491951000017100,"Census Tract 171, New York city (part), Manhattan borough, New York County, New York",5761,150,5611
0800000US360614491951000017200,360614491951000017200,"Census Tract 172, New York city (part), Manhattan borough, New York County, New York",2653,456,2197
0800000US360614491951000017300,360614491951000017300,"Census Tract 173, New York city (part), Manhattan borough, New York County, New York",5048,165,4883
0800000US360614491951000017401,360614491951000017401,"Census Tract 174.01, New York city (part), Manhattan borough, New York County, New York",1727,434,1293
0800000US360614491951000017402,360614491951000017402,"Census Tract 174.02, New York city (part), Manhattan borough, New York County, New York",1292,159,1133
0800000US360614491951000017500,360614491951000017500,"Census Tract 175, New York city (part), Manhattan borough, New York County, New York",5947,313,5634
0800000US360614491951000017700,360614491951000017700,"Census Tract 177, New York city (part), Manhattan borough, New York County, New York",3880,136,3744
0800000US360614491951000017800,360614491951000017800,"Census Tract 178, New York city (part), Manhattan borough, New York County, New York",2105,295,1810
0800000US360614491951000017900,360614491951000017900,"Census Tract 179, New York city (part), Manhattan borough, New York County, New York",5180,376,4804
0800000US360614491951000018000,360614491951000018000,"Census Tract 180, New York city (part), Manhattan borough, New York County, New York",2799,434,2365
0800000US360614491951000018100,360614491951000018100,"Census Tract 181, New York city (part), Manhattan borough, New York County, New York",5116,186,4930
0800000US360614491951000018200,360614491951000018200,"Census Tract 182, New York city (part), Manhattan borough, New York County, New York",2795,287,2508
0800000US360614491951000018300,360614491951000018300,"Census Tract 183, New York city (part), Manhattan borough, New York County, New York",5527,340,5187
0800000US360614491951000018400,360614491951000018400,"Census Tract 184, New York city (part), Manhattan borough, New York County, New York",2884,407,2477
0800000US360614491951000018500,360614491951000018500,"Census Tract 185, New York city (part), Manhattan borough, New York County, New York",2500,34,2466
0800000US360614491951000018600,360614491951000018600,"Census Tract 186, New York city (part), Manhattan borough, New York County, New York",2033,202,1831
0800000US360614491951000018700,360614491951000018700,"Census Tract 187, New York city (part), Manhattan borough, New York County, New York",5098,207,4891
0800000US360614491951000018800,360614491951000018800,"Census Tract 188, New York city (part), Manhattan borough, New York County, New York",2246,214,2032
0800000US360614491951000018900,360614491951000018900,"Census Tract 189, New York city (part), Manhattan borough, New York County, New York",4951,378,4573
0800000US360614491951000019000,360614491951000019000,"Census Tract 190, New York city (part), Manhattan borough, New York County, New York",1406,149,1257
0800000US360614491951000019100,360614491951000019100,"Census Tract 191, New York city (part), Manhattan borough, New York County, New York",5970,387,5583
0800000US360614491951000019200,360614491951000019200,"Census Tract 192, New York city (part), Manhattan borough, New York County, New York",953,87,866
0800000US360614491951000019300,360614491951000019300,"Census Tract 193, New York city (part), Manhattan borough, New York County, New York",4165,166,3999
0800000US360614491951000019400,360614491951000019400,"Census Tract 194, New York city (part), Manhattan borough, New York County, New York",1820,245,1575
0800000US360614491951000019500,360614491951000019500,"Census Tract 195, New York city (part), Manhattan borough, New York County, New York",4463,170,4293
0800000US360614491951000019600,360614491951000019600,"Census Tract 196, New York city (part), Manhattan borough, New York County, New York",1050,102,948
0800000US360614491951000019701,360614491951000019701,"Census Tract 197.01, New York city (part), Manhattan borough, New York County, New York",327,55,272
0800000US360614491951000019702,360614491951000019702,"Census Tract 197.02, New York city (part), Manhattan borough, New York County, New York",1188,109,1079
0800000US360614491951000019800,360614491951000019800,"Census Tract 198, New York city (part), Manhattan borough, New York County, New York",1237,163,1074
0800000US360614491951000019900,360614491951000019900,"Census Tract 199, New York city (part), Manhattan borough, New York County, New York",3833,371,3462
0800000US360614491951000020000,360614491951000020000,"Census Tract 200, New York city (part), Manhattan borough, New York County, New York",1723,219,1504
0800000US360614491951000020101,360614491951000020101,"Census Tract 201.01, New York city (part), Manhattan borough, New York County, New York",636,170,466
0800000US360614491951000020102,360614491951000020102,"Census Tract 201.02, New York city (part), Manhattan borough, New York County, New York",2230,107,2123
0800000US360614491951000020300,360614491951000020300,"Census Tract 203, New York city (part), Manhattan borough, New York County, New York",1265,442,823
0800000US360614491951000020500,360614491951000020500,"Census Tract 205, New York city (part), Manhattan borough, New York County, New York",1977,286,1691
0800000US360614491951000020600,360614491951000020600,"Census Tract 206, New York city (part), Manhattan borough, New York County, New York",1200,201,999
0800000US360614491951000020701,360614491951000020701,"Census Tract 207.01, New York city (part), Manhattan borough, New York County, New York",1533,117,1416
0800000US360614491951000020800,360614491951000020800,"Census Tract 208, New York city (part), Manhattan borough, New York County, New York",2475,203,2272
0800000US360614491951000020901,360614491951000020901,"Census Tract 209.01, New York city (part), Manhattan borough, New York County, New York",1533,478,1055
0800000US360614491951000021000,360614491951000021000,"Census Tract 210, New York city (part), Manhattan borough, New York County, New York",2564,389,2175
0800000US360614491951000021100,360614491951000021100,"Census Tract 211, New York city (part), Manhattan borough, New York County, New York",4237,352,3885
0800000US360614491951000021200,360614491951000021200,"Census Tract 212, New York city (part), Manhattan borough, New York County, New York",1835,38,1797
0800000US360614491951000021303,360614491951000021303,"Census Tract 213.03, New York city (part), Manhattan borough, New York County, New York",2916,344,2572
0800000US360614491951000021400,360614491951000021400,"Census Tract 214, New York city (part), Manhattan borough, New York County, New York",1587,56,1531
0800000US360614491951000021500,360614491951000021500,"Census Tract 215, New York city (part), Manhattan borough, New York County, New York",1049,105,944
0800000US360614491951000021600,360614491951000021600,"Census Tract 216, New York city (part), Manhattan borough, New York County, New York",4122,364,3758
0800000US360614491951000021703,360614491951000021703,"Census Tract 217.03, New York city (part), Manhattan borough, New York County, New York",0,0,0
0800000US360614491951000021800,360614491951000021800,"Census Tract 218, New York city (part), Manhattan borough, New York County, New York",2948,386,2562
